Player_ID,ELO
player1,1399.8798062207436
player2,1646.451879689762
player3,1429.2677409805067
player4,1406.0828326437074
player5,1259.2712717827037
player6,1479.5147573331722
player7,1386.132279159748
player8,1360.9656001877095
player9,1510.1096784417796
player10,1391.314670821464
player11,1587.5753086925804
player12,1495.4031198162952
player13,1518.602576783532
player14,1532.1664802458624
player15,1487.0607430007092
player16,1569.028231551149
player17,1410.0920345458994
player18,1377.4843549760278
player19,1459.6327743828572
player20,1421.7285392775489
player21,1499.0114918447491
player22,1554.1874970069641
player23,1595.5325584866496
player24,1462.9878214569248
player25,1362.1431569747454
player26,1375.1178065243998
player27,1463.8088736535356
player28,1375.809694327422
player29,1523.995683311199
player30,1316.0341301970723
player31,1428.82297945589
player32,1544.372342726175
player33,1461.8348512666405
player34,1647.8869067058051
player35,1570.7229275411935
player36,1428.7670633923246
player37,1654.4289290944698
player38,1311.5604812221902
player39,1631.9621452122092
player40,1427.4411603533172
player41,1419.261476776305
player42,1343.444178689377
player43,1540.6251567830448
player44,1715.5809365941604
player45,1472.676525853912
player46,1497.1204839623242
player47,1499.9768957828367
player48,1561.9885102678552
player49,1688.7556502977689
player50,1551.952652283589
player51,1455.3587556204302
player52,1469.4878529179855
player53,1449.6325409169767
player54,1329.3355747790508
player55,1424.9631706689229
player56,1418.8009039122019
player57,1235.0557800165484
player58,1490.1771972507902
player59,1452.7571110662823
player60,1620.1049017303112
player61,1710.3002519928423
player62,1352.0363037350094
player63,1496.1206490983698
player64,1457.1722194383688
player65,1762.8441474685892
player66,1523.6411475631905
player67,1568.141811473529
player68,1606.5579961369408
player69,1483.9918064010865
player70,1493.154599290715
player71,1417.1371719702418
player72,1393.393180321454
player73,1400.1544405708132
player74,1292.0742666463436
player75,1441.2273683796016
player76,1400.4632127062314
player77,1406.4059479518137
player78,1479.2698812775793
player79,1680.1441066716375
player80,1377.9247934680723
player81,1581.4566245433484
player82,1530.0848832647334
player83,1506.8338611918273
player84,1340.0836842838312
player85,1481.9954040403682
player86,1350.8193953952975
player87,1433.3472158464017
player88,1411.5611532781272
player89,1650.8273855654988
player90,1506.7911451514642
player91,1464.4541891054218
player92,1505.9478518711655
player93,1153.1675865803982
player94,1602.634380861761
player95,1576.7530146044267
player96,1633.2277680026446
player97,1566.7748478889362
player98,1326.5362290596515
player99,1411.303376827944
player100,1491.9952626160139
